house,n_traj,pearson_r,close_mean,close_std,tcp_mean_cm,tcp_std_cm
81,5,-0.965378140992515,48.6,13.484806264830057,5.790789320239802,2.406443592686293
36,4,-0.9597253977862724,43.75,6.869315832017043,4.409542468202268,1.0460887274863808
33,5,-0.8741614967464432,52.6,7.472616676907761,2.1164530149063077,2.0817486151301092
19,5,-0.8588121422642632,46.4,10.091580649234292,4.479048304602051,1.7973732584977316
78,3,-0.8514214460634454,46.666666666666664,9.977753031397176,6.467186435891088,0.3368166801629902
40,5,-0.8194517909655092,48.6,8.16333265278342,4.106643251633625,2.6105465994709607
62,5,-0.7691815044732119,48.0,10.430723848324238,4.519260256579928,1.910336269771774
2,5,-0.747819550514914,55.2,6.11228271597445,4.63790159160926,1.6126488526200073
88,5,-0.730737984285927,53.2,4.48998886412873,5.8557008532311405,1.8826657562159603
5,5,-0.7177349612548193,46.8,6.8527366796047255,3.5918363936810125,1.9138601728678546
72,5,-0.7050210827893155,53.4,5.851495535331118,3.8366288502079495,3.975728118106909
29,5,-0.6920627211918299,47.6,8.73155198117723,4.5108999768142155,1.798006018752759
42,5,-0.6672610302278424,49.6,6.529931086925803,2.894459777212685,0.8603314186092914
12,5,-0.5783182407030116,52.0,6.196773353931867,1.815932725707276,1.1365308400033711
38,5,-0.5412019364669247,48.6,10.910545357588685,3.502988694493525,3.1895484814618076
16,5,-0.5136453701455009,46.8,8.084553172563094,1.1806147643193987,0.15704691675248372
20,5,-0.5099935603616838,44.0,5.865151319446072,5.356881992535263,2.638351466836025
35,5,-0.5049326457960479,50.8,4.874423042781577,4.901861375521442,2.8766368485268154
11,5,-0.4833918895517083,43.6,9.850888284819801,4.7502868921550085,2.4686241979450343
3,5,-0.45038324310998484,53.2,5.114684741017769,2.073314783197644,1.4461565071265525
26,5,-0.4454452240468754,52.0,6.131883886702357,5.2659855963093705,2.689487569105511
96,5,-0.427974195676223,52.0,7.127411872482185,4.458437701440281,0.0875134133241018
28,5,-0.3893699770132035,54.0,4.69041575982343,6.3367623472040755,2.7358650853850137
6,5,-0.36293580795069685,48.6,8.912911982062878,3.5135148271781285,2.2451738411964515
44,5,-0.3192160291509232,34.8,7.0823724838503095,6.077329922805008,0.9620323402996669
90,5,-0.3029295879744295,43.6,10.518555033843766,7.740095851194731,2.7288439038787855
97,5,-0.27113820045241893,51.0,9.316651759081692,2.6404021668978572,0.4225748465493213
48,5,-0.2343375543855082,49.8,8.634813257969162,5.367341441640233,2.0590296248241815
63,5,-0.22729043637554183,55.6,10.229369482035537,3.325041903792225,0.3244703725872392
59,5,-0.20334789229352893,50.8,5.418486873657627,6.402914400604639,1.2238163962849404
15,5,-0.18802833275067155,46.6,11.79152237838694,3.236348599165131,1.8658140659565055
50,5,-0.18431864163940698,53.8,10.361467077590895,5.756693813178881,2.2176830688691678
67,5,-0.1831168311112573,48.2,8.182909018191515,2.625630018138419,0.7705188875227906
13,5,-0.13692219538335604,54.0,6.985699678629192,2.4472342973000707,1.2658947827599802
53,5,-0.11663799773925006,42.6,1.9595917942265426,4.423659038416878,2.39230865076902
98,5,-0.11610649436848815,43.0,10.13903348450926,5.854933365794843,0.5039823143776226
54,5,-0.11227045441135305,43.2,8.63481325796916,7.339619651477661,3.27276295171163
56,5,-0.10133888336290138,51.8,6.4621977685614045,2.17667751039406,2.5701531233615666
65,5,-0.09880221084617892,43.6,8.089499366462674,2.989232954944752,1.1742357915904051
25,5,-0.09717096324747383,48.2,9.282241108697836,8.513961955818251,2.519112458813575
37,5,-0.006826457855062765,52.8,8.280096617793781,6.334049156039131,2.0310064650335335
52,5,0.06952542235847152,42.0,11.260550608207398,5.3032907608806985,1.581880324747618
58,5,0.08634185622073418,52.0,7.874007874011811,4.70010086006678,1.31035179706312
70,5,0.12766120578471624,50.0,9.899494936611665,5.191544036788274,2.822191059232998
47,5,0.16797293263904078,47.6,7.116178749862878,5.549039288029532,2.2612980742148903
94,5,0.34961545856687004,49.6,9.58331884056875,4.403656253610448,2.534765108570488
86,5,0.40914156065075147,50.0,3.521363372331802,4.789590166353695,0.47160378293001315
39,5,0.4267444220392821,49.0,2.756809750418044,5.75782181868383,1.8929179197006978
61,3,0.43334154976141326,50.333333333333336,8.806563209081938,1.8757469826693418,0.4009268037227805
34,5,0.49195912518758267,53.2,6.8527366796047255,4.130852269385076,2.698185787115064
82,5,0.5113984430367579,53.4,5.314132102234569,1.923080131736395,0.735594442508616
8,5,0.5184367182984763,49.6,6.858571279792899,4.683839934093621,2.1414113247797006
84,5,0.5516472310840898,39.2,9.785703858180055,5.411778037433599,2.5671750502453516
23,5,0.5518155431777051,49.4,8.452218643646177,3.715654557043609,4.244078013741064
60,5,0.5849744648679628,39.0,8.87693640846886,6.4225444080786644,1.0261911664343555
95,4,0.6019668872489484,54.25,5.673402858955108,2.870281048206703,0.014468563354461431
75,5,0.6024953713257457,46.4,5.238320341483518,7.7432644699863955,3.1739091889531057
1,5,0.6240995280595861,53.6,6.974238309665077,4.969816391733794,1.2197137960463702
18,4,0.6504290615073206,55.25,3.344772040064913,1.5043324323202696,1.6711192350524522
73,5,0.6624613203685115,59.0,7.483314773547883,0.5731512084499623,0.3028797541461528
10,5,0.6678770892449267,55.4,4.029888335921977,3.2354977540687684,2.695133717401789
27,5,0.7207996113480022,39.8,10.146920715172657,3.223718404098843,0.9754609650135436
31,4,0.7727447170154897,53.0,5.431390245600108,3.200276968179124,3.892525166824829
43,3,0.8773980421644507,54.0,2.449489742783178,4.786522821555587,0.6858402246243921
100,3,0.9840716165284407,41.666666666666664,10.077477638553983,3.4469289161877366,0.6620677036165009
46,5,0.9891740822595624,36.8,9.744742172063866,1.7971719229073209,1.3420620456796828
